CustomerID,Country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,ChurnRisk
12346,United Kingdom,326,1,77183.6,1,1,5,115,Needs Attention,High
12347,Iceland,2,7,4310.0,5,5,5,555,Champions,Low
12348,Finland,75,4,1797.24,2,4,4,244,At Risk,Medium
12349,Italy,19,1,1757.55,4,1,4,414,New Customers,Low
12350,Norway,310,1,334.4,1,1,2,112,Hibernating,High
12352,Norway,36,8,2506.04,3,5,5,355,Potential Loyalist,Medium
12353,Bahrain,204,1,89.0,1,1,1,111,Hibernating,High
12354,Spain,232,1,1079.4,1,1,4,114,Needs Attention,High
12355,Bahrain,214,1,459.4,1,1,2,112,Hibernating,High
12356,Portugal,23,3,2811.43,4,3,5,435,Loyal Customers,Low
12357,Switzerland,33,1,6207.67,4,1,5,415,New Customers,Low
12358,Austria,2,2,1168.06,5,2,4,524,New Customers,Low
12359,Cyprus,58,4,6372.58,3,4,5,345,Potential Loyalist,Medium
12360,Austria,52,3,2662.06,3,3,5,335,Potential Loyalist,Medium
12361,Belgium,287,1,189.9,1,1,1,111,Hibernating,High
12362,Belgium,3,10,5226.23,5,5,5,555,Champions,Low
12363,Unspecified,110,2,552.0,2,2,3,223,Needs Attention,High
12364,Belgium,8,4,1313.1,5,4,4,544,Champions,Low
12365,Cyprus,291,2,641.38,1,2,3,123,Needs Attention,High
12367,Denmark,4,1,168.9,5,1,1,511,New Customers,Low
12370,Cyprus,51,4,3545.69,3,4,5,345,Potential Loyalist,Medium
12371,Switzerland,45,2,1887.96,3,2,4,324,Potential Loyalist,Medium
12372,Denmark,72,3,1298.04,3,3,4,334,Potential Loyalist,Medium
12373,Austria,311,1,364.6,1,1,2,112,Hibernating,High
12374,Austria,25,1,742.93,4,1,3,413,New Customers,Low
12375,Finland,11,2,457.5,5,2,2,522,New Customers,Low
12377,Switzerland,315,2,1628.12,1,2,4,124,Needs Attention,High
12378,Switzerland,130,1,4008.62,2,1,5,215,Needs Attention,High
12379,Belgium,82,2,852.24,2,2,3,223,Needs Attention,High
12380,Belgium,22,4,2724.81,4,4,5,445,Champions,Low
12381,Norway,5,5,1845.31,5,4,4,544,Champions,Low
12383,Belgium,185,5,1850.56,1,4,4,144,Cannot Lose Them,Medium
12384,Switzerland,29,2,585.27,4,2,3,423,New Customers,Low
12386,Australia,338,2,401.9,1,2,2,122,Hibernating,High
12388,Australia,16,6,2780.66,4,4,5,445,Champions,Low
12390,Belgium,80,1,549.84,2,1,3,213,Needs Attention,High
12391,Cyprus,22,1,460.89,4,1,2,412,New Customers,Low
12393,Australia,72,4,1582.6,3,4,4,344,Potential Loyalist,Medium
12394,Belgium,64,2,1272.48,3,2,4,324,Potential Loyalist,Medium
12395,Belgium,19,12,3018.63,4,5,5,455,Champions,Low
12397,Belgium,36,2,2409.9,3,2,5,325,Potential Loyalist,Medium
12398,Switzerland,46,1,1635.66,3,1,4,314,Potential Loyalist,Medium
12399,Belgium,119,4,1108.65,2,4,4,244,At Risk,Medium
12401,Belgium,303,1,84.3,1,1,1,111,Hibernating,High
12402,Belgium,323,1,225.6,1,1,1,111,Hibernating,High
12403,Denmark,50,1,427.7,3,1,2,312,Potential Loyalist,Medium
12405,Finland,149,1,1710.39,2,1,4,214,Needs Attention,High
12406,Denmark,22,2,3415.3,4,2,5,425,New Customers,Low
12407,Belgium,50,5,1708.12,3,4,4,344,Potential Loyalist,Medium
12408,Belgium,33,5,2888.55,4,4,5,445,Champions,Low
12409,Switzerland,79,3,11072.67,2,3,5,235,At Risk,Medium
12410,Switzerland,309,2,693.33,1,2,3,123,Needs Attention,High
12412,Denmark,75,3,1226.88,2,3,4,234,At Risk,Medium
12413,France,67,3,758.1,3,3,3,333,Potential Loyalist,Medium
12414,Austria,217,3,562.41,1,3,3,133,Needs Attention,Medium
12415,Australia,24,21,124914.53,4,5,5,455,Champions,Low
12417,Belgium,3,9,3649.1,5,5,5,555,Champions,Low
12418,Switzerland,113,1,668.58,2,1,3,213,Needs Attention,High
12420,Cyprus,64,1,600.39,3,1,3,313,Potential Loyalist,Medium
12421,Spain,16,4,807.04,4,4,3,443,Loyal Customers,Low
12422,Australia,96,3,803.56,2,3,3,233,At Risk,Medium
12423,Belgium,1,8,1859.31,5,5,4,554,Champions,Low
12424,Australia,163,2,1760.96,2,2,4,224,Needs Attention,High
12425,Portugal,78,1,777.2,2,1,3,213,Needs Attention,High
12426,Germany,195,1,582.73,1,1,3,113,Needs Attention,High
12427,Germany,22,3,825.8,4,3,3,433,Loyal Customers,Low
12428,Finland,26,9,7956.46,4,5,5,455,Champions,Low
12429,Denmark,9,4,3750.4,5,4,5,545,Champions,Low
12430,Norway,43,1,256.4,3,1,2,312,Potential Loyalist,Medium
12431,Australia,36,15,6487.45,3,5,5,355,Potential Loyalist,Medium
12432,Norway,43,5,5059.32,3,4,5,345,Potential Loyalist,Medium
12433,Norway,1,7,13375.87,5,5,5,555,Champions,Low
12434,Australia,85,2,806.14,2,2,3,223,Needs Attention,High
12435,Denmark,80,2,7829.89,2,2,5,225,Needs Attention,High
12436,Norway,100,1,509.01,2,1,3,213,Needs Attention,High
12437,France,2,18,4951.41,5,5,5,555,Champions,Low
12438,Norway,14,2,2906.85,4,2,5,425,New Customers,Low
12441,France,367,1,173.55,1,1,1,111,Hibernating,High
12442,Spain,3,1,172.06,5,1,1,511,New Customers,Low
12444,Norway,21,5,5005.46,4,4,5,445,Champions,Low
12445,Spain,22,1,133.4,4,1,1,411,New Customers,Low
12446,RSA,58,1,1002.31,3,1,4,314,Potential Loyalist,Medium
12447,Belgium,243,1,476.49,1,1,2,112,Hibernating,High
12448,Spain,44,1,449.45,3,1,2,312,Potential Loyalist,Medium
12449,Belgium,22,4,4067.29,4,4,5,445,Champions,Low
12450,Spain,156,2,197.88,2,2,1,221,Hibernating,High
12451,Switzerland,11,5,9035.52,5,4,5,545,Champions,Low
12452,Switzerland,17,2,430.57,4,2,2,422,New Customers,Low
12453,Austria,134,1,707.09,2,1,3,213,Needs Attention,High
12454,Spain,56,1,3528.34,3,1,5,315,Potential Loyalist,Medium
12455,Cyprus,73,6,2466.86,2,4,5,245,At Risk,Medium
12456,Switzerland,44,3,3181.04,3,3,5,335,Potential Loyalist,Medium
12457,Switzerland,66,7,2363.23,3,5,5,355,Potential Loyalist,Medium
12458,Switzerland,71,2,947.4,3,2,4,324,Potential Loyalist,Medium
12461,Switzerland,94,2,826.88,2,2,3,223,Needs Attention,High
12462,Spain,19,2,1189.59,4,2,4,424,New Customers,Low
12463,Belgium,53,4,1344.78,3,4,4,344,Potential Loyalist,Medium
12464,Belgium,10,8,1212.05,5,5,4,554,Champions,Low
12465,Belgium,17,2,742.19,4,2,3,423,New Customers,Low
12468,Germany,188,2,729.54,1,2,3,123,Needs Attention,High
12471,Germany,2,30,19824.05,5,5,5,555,Champions,Low
12472,Germany,32,7,6572.11,4,5,5,455,Champions,Low
12473,Germany,29,5,3938.55,4,4,5,445,Champions,Low
12474,Germany,17,18,7375.79,4,5,5,455,Champions,Low
12475,Germany,54,1,723.38,3,1,3,313,Potential Loyalist,Medium
12476,Germany,16,11,6816.42,4,5,5,455,Champions,Low
12477,Germany,23,6,13219.74,4,4,5,445,Champions,Low
12478,Greece,4,1,680.99,5,1,3,513,New Customers,Low
12479,Germany,11,1,527.2,5,1,3,513,New Customers,Low
12480,Germany,28,4,3281.63,4,4,5,445,Champions,Low
12481,Germany,23,10,5596.32,4,5,5,455,Champions,Low
12483,Sweden,17,8,2484.98,4,5,5,455,Champions,Low
12484,Spain,33,6,4541.72,4,4,5,445,Champions,Low
12488,France,10,3,1298.66,5,3,4,534,Loyal Customers,Low
12489,France,336,1,334.93,1,1,2,112,Hibernating,High
12490,France,5,10,5417.93,5,5,5,555,Champions,Low
12491,France,39,1,460.4,3,1,2,312,Potential Loyalist,Medium
12492,Germany,63,2,263.21,3,2,2,322,Potential Loyalist,Medium
12493,France,166,2,433.74,2,2,2,222,Hibernating,High
12494,France,16,7,1246.1,4,5,4,454,Champions,Low
12497,Germany,82,1,1043.1,2,1,4,214,Needs Attention,High
12498,Germany,21,3,403.7,4,3,2,432,Loyal Customers,Low
12500,Germany,23,11,4257.82,4,5,5,455,Champions,Low
12501,Germany,337,1,2169.39,1,1,5,115,Needs Attention,High
12502,Spain,96,5,3723.87,2,4,5,245,At Risk,Medium
12504,Germany,18,2,482.05,4,2,2,422,New Customers,Low
12506,France,233,1,73.5,1,1,1,111,Hibernating,High
12507,Spain,134,3,1304.81,2,3,4,234,At Risk,Medium
12508,France,26,2,398.27,4,2,2,422,New Customers,Low
12509,France,284,1,176.5,1,1,1,111,Hibernating,High
12510,Spain,143,2,982.57,2,2,4,224,Needs Attention,High
12512,Israel,66,2,138.03,3,2,1,321,Potential Loyalist,Medium
12513,France,113,1,612.29,2,1,3,213,Needs Attention,High
12514,Italy,267,1,1017.68,1,1,4,114,Needs Attention,High
12515,Italy,353,1,383.7,1,1,2,112,Hibernating,High
12516,Germany,78,2,1312.06,2,2,4,224,Needs Attention,High
12517,Germany,28,5,2502.84,4,4,5,445,Champions,Low
12518,Germany,1,5,2056.89,5,4,4,544,Champions,Low
12519,Germany,64,1,340.84,3,1,2,312,Potential Loyalist,Medium
12520,Germany,79,5,2634.26,2,4,5,245,At Risk,Medium
